"","Date_of_game","Team1","Team2","Pointspread","Score1","Score2","scorediff","Location","ATLANTA HAWKS","BOSTON CELTICS","BROOKLYN NETS","CHARLOTTE HORNETS","CHICAGO BULLS","CLEVELAND CAVALIERS","DALLAS MAVERICKS","DENVER NUGGETS","DETROIT PISTONS","GOLDEN STATE WARRIORS","HOUSTON ROCKETS","INDIANA PACERS","LOS ANGELES CLIPPERS","LOS ANGELES LAKERS","MEMPHIS GRIZZLIES","MIAMI HEAT","MILWAUKEE BUCKS","MINNESOTA TIMBERWOLVES","NEW ORLEANS PELICANS","NEW YORK KNICKS","OKLAHOMA CITY THUNDER","ORLANDO MAGIC","PHILADELPHIA 76ERS","PHOENIX SUNS","PORTLAND TRAIL BLAZERS","SACRAMENTO KINGS","SAN ANTONIO SPURS","TORONTO RAPTORS","UTAH JAZZ","WASHINGTON WIZARDS"
"83",2017-04-16,"ATLANTA HAWKS","WASHINGTON WIZARDS",5.5,107,114,-7,"V",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
"84",2017-04-19,"ATLANTA HAWKS","WASHINGTON WIZARDS",6,101,109,-8,"V",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
"85",2017-04-22,"ATLANTA HAWKS","WASHINGTON WIZARDS",-2.5,116,98,18,"H",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
"86",2017-04-24,"ATLANTA HAWKS","WASHINGTON WIZARDS",-2.5,111,101,10,"H",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
"87",2017-04-26,"ATLANTA HAWKS","WASHINGTON WIZARDS",6,99,103,-4,"V",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
"88",2017-04-28,"ATLANTA HAWKS","WASHINGTON WIZARDS",-3,99,115,-16,"H",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
"89",2016-10-26,"BOSTON CELTICS","BROOKLYN NETS",-11.5,122,117,5,"H",0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90",2016-11-23,"BOSTON CELTICS","BROOKLYN NETS",-7.5,111,92,19,"V",0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91",2017-03-17,"BOSTON CELTICS","BROOKLYN NETS",-8.5,98,95,3,"V",0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92",2017-04-10,"BOSTON CELTICS","BROOKLYN NETS",-10.5,114,105,9,"H",0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93",2016-10-29,"BOSTON CELTICS","CHARLOTTE HORNETS",-2.5,104,98,6,"V",0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94",2016-12-16,"BOSTON CELTICS","CHARLOTTE HORNETS",-6.5,96,88,8,"H",0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95",2017-01-16,"BOSTON CELTICS","CHARLOTTE HORNETS",-5.5,108,98,10,"H",0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96",2017-04-08,"BOSTON CELTICS","CHARLOTTE HORNETS",1,121,114,7,"V",0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97",2016-10-27,"BOSTON CELTICS","CHICAGO BULLS",1.5,99,105,-6,"V",0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98",2016-11-02,"BOSTON CELTICS","CHICAGO BULLS",-3,107,100,7,"H",0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99",2017-02-16,"BOSTON CELTICS","CHICAGO BULLS",-1,103,104,-1,"V",0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100",2017-03-12,"BOSTON CELTICS","CHICAGO BULLS",-7.5,100,80,20,"H",0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101",2017-04-16,"BOSTON CELTICS","CHICAGO BULLS",-7,102,106,-4,"H",0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102",2017-04-18,"BOSTON CELTICS","CHICAGO BULLS",-7.5,97,111,-14,"H",0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103",2017-04-21,"BOSTON CELTICS","CHICAGO BULLS",-2.5,104,87,17,"V",0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104",2017-04-23,"BOSTON CELTICS","CHICAGO BULLS",-2,104,95,9,"V",0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105",2017-04-26,"BOSTON CELTICS","CHICAGO BULLS",-7.5,108,97,11,"H",0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106",2017-04-28,"BOSTON CELTICS","CHICAGO BULLS",-3,105,83,22,"V",0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107",2016-11-03,"BOSTON CELTICS","CLEVELAND CAVALIERS",10,122,128,-6,"V",0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108",2016-12-29,"BOSTON CELTICS","CLEVELAND CAVALIERS",6.5,118,124,-6,"V",0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109",2017-03-01,"BOSTON CELTICS","CLEVELAND CAVALIERS",-1,103,99,4,"H",0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110",2017-04-05,"BOSTON CELTICS","CLEVELAND CAVALIERS",-4,91,114,-23,"H",0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111",2017-05-17,"BOSTON CELTICS","CLEVELAND CAVALIERS",4.5,104,117,-13,"H",0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
