"","Date","Team","Acquired","Relinquished","Notes"
"18323",2017-03-24,"76ers","","Joel Embiid","surgery on left knee to repair torn meniscus (out for season)"
"18324",2017-03-24,"Celtics","","Avery Bradley","illness (DTD)"
"18325",2017-03-24,"Hornets","","Johnny O'Bryant III","placed on IL with sprained right ankle (out for season)"
"18326",2017-03-24,"Kings","Kosta Koufos","","returned to lineup"
"18327",2017-03-24,"Kings","Ty Lawson","","returned to lineup"
"18328",2017-03-24,"Nuggets","","Mike Miller","placed on IL"
"18329",2017-03-24,"Nuggets","Danilo Gallinari","","activated from IL"
"18330",2017-03-24,"Warriors","Andre Iguodala","","activated from IL"
"18331",2017-03-24,"Wizards","","Sheldon Mac","placed on IL"
"18332",2017-03-24,"Wizards","Daniel Ochefu","","activated from IL"
"18333",2017-03-24,"Hornets","Miles Plumlee","","activated from IL"
"18334",2017-03-24,"Hornets","","Miles Plumlee","strained right calf (DTD)"
"18335",2017-03-25,"Cavaliers","","Iman Shumpert","placed on IL with sore right knee"
"18336",2017-03-25,"Cavaliers","Larry Sanders ","","activated from IL"
"18337",2017-03-25,"Knicks","","Carmelo Anthony","placed on IL with sore left knee"
"18338",2017-03-25,"Knicks","Derrick Rose","","returned to lineup"
"18339",2017-03-25,"Knicks","Maurice N'dour","","activated from IL"
"18340",2017-03-25,"Mavericks","","Jarrod Uthoff","placed on IL"
"18341",2017-03-25,"Mavericks","A.J. Hammons","","activated from IL"
"18342",2017-03-25,"Raptors","","DeMarre Carroll","sore lower back (DTD)"
"18343",2017-03-25,"Rockets","","Ryan Anderson","sprained right ankle (DTD)"
"18344",2017-03-25,"Spurs","","Danny Green","placed on IL"
"18345",2017-03-25,"Spurs","Joel Anthony","","activated from IL"
"18346",2017-03-25,"Wizards","","Bojan Bogdanovic","placed on IL with back injury"
"18347",2017-03-25,"Wizards","Sheldon Mac","","activated from IL"
"18348",2017-03-26,"76ers","","Tiago Splitter","strained right calf (DTD)"
"18349",2017-03-26,"Celtics","Avery Bradley","","returned to lineup"
"18350",2017-03-26,"Clippers","","J.J. Redick","placed on IL with sprained right ankle"
"18351",2017-03-26,"Clippers","Wes Johnson","","activated from IL"
"18352",2017-03-26,"Grizzlies","","Marc Gasol","strained left foot (DTD)"
"18353",2017-03-26,"Hawks","","Thabo Sefolosha","strained right groin (DTD)"
"18354",2017-03-26,"Kings","","Ty Lawson","stiffness in right knee (DTD)"
"18355",2017-03-26,"Lakers","","Brandon Ingram","placed on IL with patellar tendinitis in knee"
"18356",2017-03-26,"Lakers","Timofey Mozgov","","activated from IL"
"18357",2017-03-26,"Nuggets","","Roy Hibbert","placed on IL"
"18358",2017-03-26,"Nuggets","Mike Miller","","activated from IL"
"18359",2017-03-26,"Pacers","","Glenn Robinson III","placed on IL with strained left calf (out for season)"
"18360",2017-03-26,"Pacers","Joe Young","","activated from IL"
"18361",2017-03-26,"Pelicans","","DeMarcus Cousins","sprained right ankle (DTD)"
"18362",2017-03-26,"Rockets","","Ryan Anderson","placed on IL with sprained right ankle"
"18363",2017-03-26,"Rockets","Troy Williams","","activated from IL"
"18364",2017-03-26,"Suns","","Brandon Knight","rest (DTD)"
"18365",2017-03-26,"Suns","","Eric Bledsoe","rest (out for season)"
"18366",2017-03-26,"Suns","","Leandro Barbosa","sore right hamstring (out for season)"
"18367",2017-03-26,"Suns","","Tyson Chandler","rest (DTD)"
"18368",2017-03-26,"Suns","T.J. Warren","","returned to lineup"
"18369",2017-03-26,"Grizzlies","Wade Baldwin IV","","activated from IL"
"18370",2017-03-26,"Pelicans","Cheick Diallo","","activated from IL"
"18371",2017-03-27,"Cavaliers","","Kyle Korver","sore left foot (DTD)"
"18372",2017-03-27,"Cavaliers","","Kyle Korver","placed on IL with sore left foot"
"18373",2017-03-27,"Cavaliers","","Larry Sanders ","placed on IL"
"18374",2017-03-27,"Cavaliers","Kay Felder","","activated from IL"
"18375",2017-03-27,"Jazz","","Gordon Hayward","bruised left quadricep (DTD)"
"18376",2017-03-27,"Jazz","Shelvin Mack","","activated from IL"
"18377",2017-03-27,"Kings","Ty Lawson","","returned to lineup"
"18378",2017-03-27,"Knicks","","Lance Thomas","placed on IL with right hip injury (out for season)"
"18379",2017-03-27,"Knicks","Carmelo Anthony","","activated from IL"
"18380",2017-03-27,"Mavericks","","A.J. Hammons","placed on IL"
"18381",2017-03-27,"Mavericks","","Seth Curry","placed on IL with left shoulder injury"
"18382",2017-03-27,"Mavericks","Jarrod Uthoff","","activated from IL"
"18383",2017-03-27,"Mavericks","Manny Harris","","activated from IL"
"18384",2017-03-27,"Pacers","","Al Jefferson","sprained left ankle (DTD)"
"18385",2017-03-27,"Pistons","","Reggie Bullock","placed on IL with sprained right foot"
"18386",2017-03-27,"Pistons","","Reggie Jackson ","placed on IL with left knee injury (out for season)"
"18387",2017-03-27,"Pistons","Henry Ellenson","","activated from IL"
"18388",2017-03-27,"Pistons","Michael Gbinije","","activated from IL"
"18389",2017-03-27,"Spurs","","Joel Anthony","placed on IL"
"18390",2017-03-27,"Spurs","Danny Green","","activated from IL"
"18391",2017-03-27,"Cavaliers","Iman Shumpert","","activated from IL"
"18392",2017-03-27,"Cavaliers","","Iman Shumpert","sore right knee (DTD)"
"18393",2017-03-28,"76ers","","Gerald Henderson Jr.","sore left hip (DTD)"
"18394",2017-03-28,"76ers","","Sergio Rodriguez","strained / tightness in left hamstring (out for season)"
"18395",2017-03-28,"76ers","Tiago Splitter","","activated from IL"
"18396",2017-03-28,"Nets","","Andrew Nicholson","placed on IL"
"18397",2017-03-28,"Nets","Sean Kilpatrick","","activated from IL"
"18398",2017-03-28,"Nuggets","","Mike Miller","placed on IL"
"18399",2017-03-28,"Nuggets","Roy Hibbert","","activated from IL"
"18400",2017-03-28,"Pacers","","Rodney Stuckey","placed on IL with strained patellar tendon in left knee"
"18401",2017-03-28,"Pacers","Georges Niang","","activated from IL"
"18402",2017-03-28,"Suns","","Devin Booker","placed on IL with ankle injury"
"18403",2017-03-28,"Suns","Ronnie Price","","activated from IL"
"18404",2017-03-28,"Wizards","","Daniel Ochefu","placed on IL"
"18405",2017-03-28,"Wizards","Bojan Bogdanovic","","activated from IL"
"18406",2017-03-29,"76ers","","Robert Covington","swelling in right knee (out for season)"
"18407",2017-03-29,"76ers","Gerald Henderson Jr.","","returned to lineup"
"18408",2017-03-29,"Clippers","","Wes Johnson","placed on IL"
"18409",2017-03-29,"Clippers","J.J. Redick","","activated from IL"
"18410",2017-03-29,"Grizzlies","","JaMychal Green","sore left shoulder (DTD)"
"18411",2017-03-29,"Hawks","","Mike Dunleavy Jr.","placed on IL with sore right ankle"
"18412",2017-03-29,"Hawks","Kent Bazemore","","activated from IL"
"18413",2017-03-29,"Hornets","Miles Plumlee","","returned to lineup"
"18414",2017-03-29,"Jazz","","George Hill","placed on IL with strained groin"
"18415",2017-03-29,"Jazz","","Raul Neto","strained right groin (DTD)"
"18416",2017-03-29,"Jazz","Gordon Hayward","","returned to lineup"
"18417",2017-03-29,"Knicks","","Derrick Rose","placed on IL with torn meniscus in left knee / sore right foot (out for season)"
"18418",2017-03-29,"Mavericks","","Salah Mejri","knee injury (DTD)"
"18419",2017-03-29,"Mavericks","","Salah Mejri","placed on IL with stomach ailment / knee injury"
"18420",2017-03-29,"Mavericks","A.J. Hammons","","activated from IL"
"18421",2017-03-29,"Mavericks","Seth Curry","","activated from IL"
"18422",2017-03-29,"Nets","","Quincy Acy","ankle injury (DTD)"
"18423",2017-03-29,"Pelicans","DeMarcus Cousins","","returned to lineup"
"18424",2017-03-29,"Raptors","DeMarre Carroll","","returned to lineup"
"18425",2017-03-29,"Warriors","","Kevon Looney","strained left hip (DTD)"
"18426",2017-03-29,"Wizards","","Sheldon Mac","placed on IL"
"18427",2017-03-29,"Wizards","Daniel Ochefu","","activated from IL"
"18428",2017-03-29,"Knicks","Joakim Noah","","returned to lineup"
"18429",2017-03-29,"Knicks","Joakim Noah","","activated from IL"
"18430",2017-03-29,"Pacers","Rodney Stuckey","","activated from IL"
"18431",2017-03-30,"76ers","","Robert Covington","torn meniscus in right knee (out for season)"
"18432",2017-03-30,"Bulls","","Cameron Payne","placed on IL"
"18433",2017-03-30,"Bulls","Cristiano Felicio","","activated from IL"
"18434",2017-03-30,"Cavaliers","","Richard Jefferson","left knee injury (DTD)"
"18435",2017-03-30,"Cavaliers","Iman Shumpert","","returned to lineup"
"18436",2017-03-30,"Clippers","","Austin Rivers","strained left hamstring (DTD)"
"18437",2017-03-30,"Nets","","Quincy Acy","placed on IL with ankle injury"
"18438",2017-03-30,"Nets","Andrew Nicholson","","activated from IL"
"18439",2017-03-30,"Nuggets","","Darrell Arthur","sore left knee (DTD)"
"18440",2017-03-30,"Rockets","Chinanu Onuaku","","activated from IL"
"18441",2017-03-30,"Suns","","Leandro Barbosa","placed on IL with sore right hamstring (out for season)"
"18442",2017-03-30,"Suns","Devin Booker","","activated from IL"
"18443",2017-03-31,"Blazers","","Jusuf Nurkic","fractured fibula in right leg (out for season)"
"18444",2017-03-31,"Bucks","","John Henson","placed on IL with sprained left thumb"
"18445",2017-03-31,"Bucks","","Malcolm Brogdon","sore back (DTD)"
"18446",2017-03-31,"Bucks","Michael Beasley","","activated from IL"
"18447",2017-03-31,"Celtics","","Avery Bradley","placed on IL with gastroenteritis"
"18448",2017-03-31,"Grizzlies","","Andrew Harrison","placed on IL with sore right ankle"
"18449",2017-03-31,"Grizzlies","Jarell Martin","","activated from IL"
"18450",2017-03-31,"Jazz","","Raul Neto","strained right groin (DTD)"
"18451",2017-03-31,"Knicks","","Carmelo Anthony","placed on IL with sore lower back"
"18452",2017-03-31,"Lakers","","Ivica Zubac","sprained right ankle (out for season)"
"18453",2017-03-31,"Mavericks","","A.J. Hammons","placed on IL"
"18454",2017-03-31,"Mavericks","","Seth Curry","sore left shoulder (out for season)"
"18455",2017-03-31,"Mavericks","Salah Mejri","","activated from IL"
"18456",2017-03-31,"Nuggets","","Will Barton","placed on IL with sore left foot"
"18457",2017-03-31,"Nuggets","Malik Beasley","","activated from IL"
"18458",2017-03-31,"Nuggets","Mike Miller","","activated from IL"
"18459",2017-03-31,"Pelicans","","Alex Ajinca","hip injury (DTD)"
"18460",2017-03-31,"Rockets","","Troy Williams","placed on IL"
"18461",2017-03-31,"Thunder","","Taj Gibson","placed on IL with illness"
"18462",2017-03-31,"Thunder","Kyle Singler","","activated from IL"
"18463",2017-03-31,"Warriors","","Patrick McCaw","leg cramps (DTD)"
"18464",2017-03-31,"Wizards","","Daniel Ochefu","placed on IL"
"18465",2017-03-31,"Wizards","Sheldon Mac","","activated from IL"
"18466",2017-04-01,"Blazers","","Jusuf Nurkic","placed on IL with fractured fibula in right leg"
"18467",2017-04-01,"Hawks","","Malcolm Delaney","back spasms (DTD)"
"18468",2017-04-01,"Hawks","","Thabo Sefolosha","placed on IL with strained right groin"
"18469",2017-04-01,"Hawks","Mike Dunleavy Jr.","","activated from IL"
"18470",2017-04-01,"Lakers","","Ivica Zubac","placed on IL with sprained right ankle (out for season)"
"18471",2017-04-01,"Lakers","Brandon Ingram","","activated from IL"
"18472",2017-04-01,"Spurs","","Danny Green","bruised left quadricep (DTD)"
"18473",2017-04-02,"76ers","","Sergio Rodriguez","strained left knee (out for season)"
"18474",2017-04-02,"Cavaliers","","Kay Felder","placed on IL"
"18475",2017-04-02,"Cavaliers","Richard Jefferson","","returned to lineup"
"18476",2017-04-02,"Hawks","","Malcolm Delaney","placed on IL with back spasms"
"18477",2017-04-02,"Hawks","Paul Millsap","","activated from IL"
"18478",2017-04-02,"Jazz","","Raul Neto","strained right groin (DTD)"
"18479",2017-04-02,"Lakers","","Tarik Black","placed on IL with knee injury"
"18480",2017-04-02,"Lakers","Luol Deng","","activated from IL"
"18481",2017-04-02,"Mavericks","","Seth Curry","placed on IL with sore left shoulder (out for season)"
"18482",2017-04-02,"Mavericks","A.J. Hammons","","activated from IL"
"18483",2017-04-02,"Nets","","Andrew Nicholson","placed on IL"
"18484",2017-04-02,"Nets","Quincy Acy","","activated from IL"
"18485",2017-04-02,"Nuggets","","Darrell Arthur","placed on IL with sore left knee"
"18486",2017-04-02,"Nuggets","","Jameer Nelson","calf injury (DTD)"
"18487",2017-04-02,"Pacers","","Georges Niang","placed on IL"
"18488",2017-04-02,"Pelicans","Alex Ajinca","","returned to lineup"
"18489",2017-04-02,"Raptors","","P.J. Tucker","placed on IL with sore left knee"
"18490",2017-04-02,"Raptors","Bruno Caboclo","","activated from IL"
"18491",2017-04-02,"Rockets","","James Harden","placed on IL with illness"
"18492",2017-04-02,"Spurs","","Danny Green","placed on IL with bruised left quadricep"
"18493",2017-04-02,"Spurs","","LaMarcus Aldridge","sprained left/right thumb (DTD)"
"18494",2017-04-02,"Spurs","Joel Anthony","","activated from IL"
"18495",2017-04-02,"Suns","","T.J. Warren","placed on IL with illness"
"18496",2017-04-02,"Suns","Dragan Bender","","activated from IL"
"18497",2017-04-02,"Thunder","","Kyle Singler","placed on IL"
"18498",2017-04-02,"Thunder","Taj Gibson","","activated from IL"
"18499",2017-04-02,"Warriors","Patrick McCaw","","returned to lineup"
"18500",2017-04-02,"Wizards","","Sheldon Mac","placed on IL"
"18501",2017-04-02,"Wizards","Daniel Ochefu","","activated from IL"
"18502",2017-04-02,"Cavaliers","Larry Sanders ","","activated from IL"
"18503",2017-04-02,"Nuggets","Malik Beasley","","activated from IL"
"18504",2017-04-02,"Rockets","Troy Williams","","activated from IL"
"18505",2017-04-02,"Rockets","Isaiah Taylor","","activated from IL"
"18506",2017-04-03,"Rockets","","Sam Dekker","fractured left hand (out indefinitely)"
"18507",2017-04-04,"76ers","","Sergio Rodriguez","strained left hamstring (out for season)"
"18508",2017-04-04,"Blazers","","Tim Quarterman","placed on IL"
"18509",2017-04-04,"Cavaliers","Kyle Korver","","activated from IL"
"18510",2017-04-04,"Grizzlies","","Tony Allen","placed on IL with left eye injury"
"18511",2017-04-04,"Grizzlies","Andrew Harrison","","activated from IL"
"18512",2017-04-04,"Grizzlies","JaMychal Green","","returned to lineup"
"18513",2017-04-04,"Grizzlies","Marc Gasol","","returned to lineup"
"18514",2017-04-04,"Grizzlies","Tony Allen","","activated from IL"
"18515",2017-04-04,"Jazz","","Rodney Hood","sore right knee (DTD)"
"18516",2017-04-04,"Kings","","Anthony Tolliver","strained right hip / lower back (DTD)"
"18517",2017-04-04,"Kings","","Arron Afflalo","strained lower back / hip (DTD)"
"18518",2017-04-04,"Kings","","Darren Collison","rest (DTD)"
"18519",2017-04-04,"Kings","","Kosta Koufos","rest (DTD)"
"18520",2017-04-04,"Kings","","Ty Lawson","rest (DTD)"
"18521",2017-04-04,"Knicks","","Kristaps Porzingis","placed on IL with sore lower back"
"18522",2017-04-04,"Knicks","Carmelo Anthony","","activated from IL"
"18523",2017-04-04,"Mavericks","","Dirk Nowitzki","sore right Achilles (DTD)"
"18524",2017-04-04,"Mavericks","","Wes Matthews Jr.","rest (DTD)"
"18525",2017-04-04,"Nets","","Isaiah Whitehead","placed on IL with sprained left ankle"
"18526",2017-04-04,"Nets","Andrew Nicholson","","activated from IL"
"18527",2017-04-04,"Raptors","","Bruno Caboclo","placed on IL"
"18528",2017-04-04,"Raptors","P.J. Tucker","","activated from IL"
"18529",2017-04-04,"Spurs","LaMarcus Aldridge","","returned to lineup"
"18530",2017-04-04,"Warriors","Kevon Looney","","returned to lineup"
"18531",2017-04-04,"Blazers","Jusuf Nurkic","","activated from IL"
"18532",2017-04-04,"Blazers","","Jusuf Nurkic","fractured fibula in right leg (DTD)"
"18533",2017-04-04,"Cavaliers","","Larry Sanders ","placed on IL"
"18534",2017-04-05,"Cavaliers","","Tristan Thompson","placed on IL with sprained right thumb"
"18535",2017-04-05,"Cavaliers","Larry Sanders ","","activated from IL"
"18536",2017-04-05,"Celtics","Avery Bradley","","activated from IL"
"18537",2017-04-05,"Clippers","","Austin Rivers","placed on IL with strained left hamstring"
"18538",2017-04-05,"Clippers","Wes Johnson","","activated from IL"
"18539",2017-04-05,"Grizzlies","","Mike Conley Jr.","eye injury (DTD)"
"18540",2017-04-05,"Grizzlies","","Mike Conley Jr.","placed on IL with laceration above right eye"
"18541",2017-04-05,"Heat","","Luke Babbitt","strained right hip flexor (out for season)"
"18542",2017-04-05,"Knicks","","Derrick Rose","surgery on left knee to repair torn meniscus (out for season)"
"18543",2017-04-05,"Lakers","","D'Angelo Russell","placed on IL with sore left knee"
"18544",2017-04-05,"Lakers","Tarik Black","","activated from IL"
"18545",2017-04-05,"Mavericks","Dirk Nowitzki","","returned to lineup"
"18546",2017-04-05,"Mavericks","Wes Matthews Jr.","","returned to lineup"
"18547",2017-04-05,"Nuggets","","Malik Beasley","placed on IL"
"18548",2017-04-05,"Nuggets","Darrell Arthur","","activated from IL"
"18549",2017-04-05,"Nuggets","Jameer Nelson","","returned to lineup"
"18550",2017-04-05,"Pistons","","Michael Gbinije","placed on IL with illness"
"18551",2017-04-05,"Pistons","Reggie Bullock","","activated from IL"
"18552",2017-04-05,"Raptors","","Pascal Siakam","placed on IL"
"18553",2017-04-05,"Raptors","Kyle Lowry","","activated from IL"
"18554",2017-04-05,"Rockets","","Chinanu Onuaku","placed on IL"
"18555",2017-04-05,"Rockets","","Sam Dekker","placed on IL with fractured left hand"
"18556",2017-04-05,"Rockets","James Harden","","activated from IL"
"18557",2017-04-05,"Spurs","","Manu Ginobili","bruised right quadriceps (DTD)"
"18558",2017-04-05,"Suns","","Brandon Knight","placed on IL"
"18559",2017-04-05,"Suns","T.J. Warren","","activated from IL"
"18560",2017-04-05,"Thunder","","Alex Abrines","placed on IL with sprained knee"
"18561",2017-04-05,"Thunder","Kyle Singler","","activated from IL"
"18562",2017-04-05,"Warriors","","Andre Iguodala","rest (DTD)"
"18563",2017-04-05,"Warriors","","Draymond Green","rest (DTD)"
"18564",2017-04-05,"Celtics","Jordan Mickey","","activated from IL"
"18565",2017-04-06,"Blazers","","Jusuf Nurkic","placed on IL with fractured fibula in right leg"
"18566",2017-04-06,"Blazers","Tim Quarterman","","activated from IL"
"18567",2017-04-06,"Bulls","","Rajon Rondo","placed on IL with sprained right wrist"
"18568",2017-04-06,"Bulls","Cameron Payne","","activated from IL"
"18569",2017-04-06,"Hawks","","Kris Humphries","placed on IL"
"18570",2017-04-06,"Hawks","Malcolm Delaney","","activated from IL"
"18571",2017-04-06,"Knicks","","Chasson Randle","placed on IL with sprained left ankle"
"18572",2017-04-06,"Magic","","Evan Fournier","placed on IL with sore right wrist"
"18573",2017-04-06,"Nets","","Sean Kilpatrick","placed on IL with strained/tightness in left hamstring (out for season)"
"18574",2017-04-06,"Nets","Isaiah Whitehead","","activated from IL"
"18575",2017-04-06,"Nuggets","","Jameer Nelson","strained right calf (out for season)"
"18576",2017-04-06,"Pacers","Al Jefferson","","returned to lineup"
"18577",2017-04-06,"Pelicans","","DeMarcus Cousins","tendinitis in right Achilles (out for season)"
"18578",2017-04-06,"Wizards","","Markieff Morris","placed on IL with sore right ankle"
"18579",2017-04-06,"Wizards","Chris McCullough","","activated from IL"
"18580",2017-04-06,"Knicks","Kristaps Porzingis","","activated from IL"
"18581",2017-04-06,"Knicks","","Kristaps Porzingis","sore lower back (out for season)"
"18582",2017-04-07,"Grizzlies","","Jarell Martin","placed on IL"
"18583",2017-04-07,"Grizzlies","Mike Conley Jr.","","activated from IL"
"18584",2017-04-07,"Hawks","","Dennis Schroder","rest / foot injury (DTD)"
"18585",2017-04-07,"Hawks","","Dwight Howard","rest (DTD)"
"18586",2017-04-07,"Hawks","","Kent Bazemore","bone bruise in right knee (DTD)"
"18587",2017-04-07,"Hawks","","Paul Millsap","placed on IL with sore left knee"
"18588",2017-04-07,"Hawks","Kris Humphries","","activated from IL"
"18589",2017-04-07,"Jazz","","Raul Neto","placed on IL with strained right groin"
"18590",2017-04-07,"Jazz","Derrick Favors","","activated from IL"
"18591",2017-04-07,"Jazz","Rodney Hood","","returned to lineup"
"18592",2017-04-07,"Kings","","Garrett Temple","rest (DTD)"
"18593",2017-04-07,"Kings","","Kosta Koufos","rest (DTD)"
"18594",2017-04-07,"Kings","Anthony Tolliver","","returned to lineup"
"18595",2017-04-07,"Kings","Arron Afflalo","","returned to lineup"
"18596",2017-04-07,"Kings","Darren Collison","","returned to lineup"
"18597",2017-04-07,"Knicks","","Carmelo Anthony","sore left knee (DTD)"
"18598",2017-04-07,"Knicks","Chasson Randle","","activated from IL"
"18599",2017-04-07,"Lakers","","Luol Deng","placed on IL"
"18600",2017-04-07,"Lakers","D'Angelo Russell","","activated from IL"
"18601",2017-04-07,"Magic","Evan Fournier","","activated from IL"
"18602",2017-04-07,"Nuggets","","Jameer Nelson","placed on IL with strained right calf (out for season)"
"18603",2017-04-07,"Nuggets","Malik Beasley","","activated from IL"
"18604",2017-04-07,"Rockets","","Clint Capela","placed on IL"
"18605",2017-04-07,"Rockets","Chinanu Onuaku","","activated from IL"
"18606",2017-04-07,"Rockets","Ryan Anderson","","activated from IL"
"18607",2017-04-07,"Spurs",""," Tony Parker","rest (DTD)"
"18608",2017-04-07,"Spurs","","Manu Ginobili","rest (DTD)"
"18609",2017-04-07,"Spurs","","Kawhi Leonard","rest (DTD)"
"18610",2017-04-07,"Spurs","","LaMarcus Aldridge","rest (DTD)"
"18611",2017-04-07,"Spurs","","Pau Gasol","rest (DTD)"
"18612",2017-04-07,"Suns","","Tyson Chandler","placed on IL"
"18613",2017-04-07,"Suns","Brandon Knight","","activated from IL"
"18614",2017-04-07,"Thunder","","Andre Roberson","sore left knee (DTD)"
"18615",2017-04-08,"Blazers","","Allen Crabbe","sore left foot (DTD)"
"18616",2017-04-08,"Bucks","","Malcolm Brogdon","placed on IL with sore back"
"18617",2017-04-08,"Bucks","Jabari Parker","","activated from IL"
"18618",2017-04-08,"Bulls","","Cameron Payne","placed on IL"
"18619",2017-04-08,"Bulls","Dwyane Wade","","activated from IL"
"18620",2017-04-08,"Celtics","","Amir Johnson","placed on IL with illness"
"18621",2017-04-08,"Celtics","","James Young","illness (DTD)"
"18622",2017-04-08,"Hornets","","Marco Belinelli","strained left index finger (out for season)"
"18623",2017-04-08,"Jazz","","Joel Bolomboy","placed on IL"
"18624",2017-04-08,"Jazz","Raul Neto","","activated from IL"
"18625",2017-04-08,"Magic","","Stephen Zimmerman Jr.","placed on IL"
"18626",2017-04-08,"Pacers","","Al Jefferson","sprained left ankle (out for season)"
"18627",2017-04-08,"Pelicans","","Anthony Davis","sore left knee (out for season)"
"18628",2017-04-08,"Pelicans","","E'Twaun Moore","sprained left ankle (out for season)"
"18629",2017-04-08,"Spurs"," Tony Parker","","returned to lineup"
"18630",2017-04-08,"Spurs","Manu Ginobili","","returned to lineup"
"18631",2017-04-08,"Spurs","Kawhi Leonard","","returned to lineup"
"18632",2017-04-08,"Spurs","LaMarcus Aldridge","","returned to lineup"
"18633",2017-04-08,"Spurs","Pau Gasol","","returned to lineup"
"18634",2017-04-08,"Warriors","","Kevon Looney","placed on IL"
"18635",2017-04-08,"Warriors","","Stephen Curry","bruised left knee (DTD)"
"18636",2017-04-08,"Warriors","Kevin Durant","","activated from IL"
"18637",2017-04-08,"Wizards","","Otto Porter Jr.","placed on IL with sore back"
"18638",2017-04-08,"Wizards","","Sheldon Mac","placed on IL"
"18639",2017-04-08,"Wizards","Chris McCullough","","activated from IL"
"18640",2017-04-08,"Wizards","Markieff Morris","","activated from IL"
"18641",2017-04-09,"Grizzlies","","Zach Randolph","placed on IL for rest"
"18642",2017-04-09,"Grizzlies","Jarell Martin","","activated from IL"
"18643",2017-04-09,"Hawks","","Kris Humphries","neck spasms (DTD)"
"18644",2017-04-09,"Hawks","","Ryan Kelly","placed on IL"
"18645",2017-04-09,"Hawks","Dennis Schroder","","returned to lineup"
"18646",2017-04-09,"Hawks","Paul Millsap","","activated from IL"
"18647",2017-04-09,"Jazz","","Derrick Favors","sore left knee (DTD)"
"18648",2017-04-09,"Jazz","","Raul Neto","sprained left ankle (DTD)"
"18649",2017-04-09,"Jazz","","Rodney Hood","sore right knee (DTD)"
"18650",2017-04-09,"Kings","Garrett Temple","","returned to lineup"
"18651",2017-04-09,"Kings","Ty Lawson","","returned to lineup"
"18652",2017-04-09,"Knicks","","Kristaps Porzingis","placed on IL with sore lower back (out for season)"
"18653",2017-04-09,"Mavericks","","Harrison Barnes","rest (out for season)"
"18654",2017-04-09,"Mavericks","","Jose Barea ","rest (DTD)"
"18655",2017-04-09,"Nets","","Quincy Acy","sore left ankle (out for season)"
"18656",2017-04-09,"Nuggets","","Kenneth Faried","placed on IL with sore back"
"18657",2017-04-09,"Nuggets","Will Barton","","activated from IL"
"18658",2017-04-09,"Rockets","","Eric Gordon","rest (DTD)"
"18659",2017-04-09,"Rockets","","Nene Hilario ","rest / finger injury (DTD)"
"18660",2017-04-09,"Rockets","","Trevor Ariza","placed on IL for rest"
"18661",2017-04-09,"Rockets","Clint Capela","","activated from IL"
"18662",2017-04-09,"Thunder","","Doug McDermott","sore left knee (DTD)"
"18663",2017-04-09,"Thunder","Andre Roberson","","returned to lineup"
"18664",2017-04-09,"Warriors","","Matt Barnes","sprained right ankle, foot (DTD)"
"18665",2017-04-10,"Blazers","","C.J. McCollum","strained right hand (DTD)"
"18666",2017-04-10,"Blazers","","Damian Lillard","rest / right foot injury (DTD)"
"18667",2017-04-10,"Bucks","","Jabari Parker","placed on IL recovering from surgery on left knee to repair torn ACL (out for season)"
"18668",2017-04-10,"Bucks","","Spencer Hawes","placed on IL"
"18669",2017-04-10,"Bucks","John Henson","","activated from IL"
"18670",2017-04-10,"Bucks","Malcolm Brogdon","","activated from IL"
"18671",2017-04-10,"Cavaliers","","Kyrie Irving","rest (DTD)"
"18672",2017-04-10,"Cavaliers","","LeBron James","rest (DTD)"
"18673",2017-04-10,"Celtics","Amir Johnson","","activated from IL"
"18674",2017-04-10,"Celtics","James Young","","returned to lineup"
"18675",2017-04-10,"Hornets","","Kemba Walker","sore left knee (out for season)"
"18676",2017-04-10,"Hornets","","Marco Belinelli","placed on IL with strained left index finger (out for season)"
"18677",2017-04-10,"Hornets","Johnny O'Bryant III","","activated from IL"
"18678",2017-04-10,"Jazz","","Derrick Favors","placed on IL with sore left knee"
"18679",2017-04-10,"Jazz","","Gordon Hayward","bruised left quadricep (DTD)"
"18680",2017-04-10,"Jazz","","Raul Neto","placed on IL with sprained left / right ankle"
"18681",2017-04-10,"Jazz","George Hill","","activated from IL"
"18682",2017-04-10,"Jazz","Joel Bolomboy","","activated from IL"
"18683",2017-04-10,"Nuggets","","Emmanuel Mudiay","sore/sprained right ankle (out for season)"
"18684",2017-04-10,"Pistons","","Beno Udrih","placed on IL with sprained right knee"
"18685",2017-04-10,"Pistons","Michael Gbinije","","activated from IL"
"18686",2017-04-10,"Rockets","","Patrick Beverley","shoulder injury (DTD)"
"18687",2017-04-10,"Rockets","Trevor Ariza","","activated from IL"
"18688",2017-04-10,"Spurs","","Joel Anthony","placed on IL"
"18689",2017-04-10,"Spurs","Danny Green","","activated from IL"
"18690",2017-04-10,"Warriors","","Kevon Looney","strained left hip (out for season)"
"18691",2017-04-10,"Warriors","","Klay Thompson","rest (DTD)"
"18692",2017-04-10,"Warriors","","Matt Barnes","sprained right ankle, foot (DTD)"
"18693",2017-04-10,"Warriors","Stephen Curry","","returned to lineup"
"18694",2017-04-10,"Wizards","","John Wall ","rest / quadriceps injury (DTD)"
"18695",2017-04-10,"Celtics","","Jordan Mickey","placed on IL"
"18696",2017-04-10,"Heat","Josh McRoberts","","activated from IL"
"18697",2017-04-10,"Cavaliers","Kay Felder","","activated from IL"
"18698",2017-04-10,"Heat","","Josh McRoberts","stress fracture in left foot (out for season)"
