"","Date_of_game","Team1","Team2","Pointspread","Score1","Score2","scorediff","Location"
"217","2016-12-23","BROOKLYN NETS","CLEVELAND CAVALIERS",16.5,99,119,-20,"V"
"218","2016-12-26","BROOKLYN NETS","CHARLOTTE HORNETS",6.5,120,118,2,"H"
"219","2016-12-28","BROOKLYN NETS","CHICAGO BULLS",9.5,99,101,-2,"V"
"220","2016-12-30","BROOKLYN NETS","WASHINGTON WIZARDS",7.5,95,118,-23,"V"
"221","2017-01-02","BROOKLYN NETS","UTAH JAZZ",6.5,89,101,-12,"H"
"222","2017-01-05","BROOKLYN NETS","INDIANA PACERS",10.5,109,121,-12,"V"
"223","2017-01-06","BROOKLYN NETS","CLEVELAND CAVALIERS",13,108,116,-8,"H"
"224","2017-01-08","BROOKLYN NETS","PHILADELPHIA 76ERS",-1,95,105,-10,"H"
"225","2017-01-10","BROOKLYN NETS","ATLANTA HAWKS",8.5,97,117,-20,"H"
"226","2017-01-12","BROOKLYN NETS","NEW ORLEANS PELICANS",-2.5,95,104,-9,"H"
"227","2017-01-13","BROOKLYN NETS","TORONTO RAPTORS",15.5,113,132,-19,"V"
"228","2017-01-15","BROOKLYN NETS","HOUSTON ROCKETS",14.5,112,137,-25,"H"
"229","2017-01-17","BROOKLYN NETS","TORONTO RAPTORS",11.5,109,119,-10,"H"
"230","2017-01-20","BROOKLYN NETS","NEW ORLEANS PELICANS",10,143,114,29,"V"
"231","2017-01-21","BROOKLYN NETS","CHARLOTTE HORNETS",12,105,112,-7,"V"
"232","2017-01-23","BROOKLYN NETS","SAN ANTONIO SPURS",8.5,86,112,-26,"H"
"233","2017-01-25","BROOKLYN NETS","MIAMI HEAT",3,106,109,-3,"H"
"234","2017-01-27","BROOKLYN NETS","CLEVELAND CAVALIERS",15.5,116,124,-8,"V"
"235","2017-01-28","BROOKLYN NETS","MINNESOTA TIMBERWOLVES",11,109,129,-20,"V"
"236","2017-01-30","BROOKLYN NETS","MIAMI HEAT",7.5,96,104,-8,"V"
"237","2017-02-01","BROOKLYN NETS","NEW YORK KNICKS",2.5,90,95,-5,"H"
"238","2017-02-03","BROOKLYN NETS","INDIANA PACERS",6.5,97,106,-9,"H"
"239","2017-02-05","BROOKLYN NETS","TORONTO RAPTORS",6.5,95,103,-8,"H"
"240","2017-02-07","BROOKLYN NETS","CHARLOTTE HORNETS",10.5,107,111,-4,"V"
"241","2017-02-08","BROOKLYN NETS","WASHINGTON WIZARDS",10.5,110,114,-4,"H"
"242","2017-02-10","BROOKLYN NETS","MIAMI HEAT",5.5,99,108,-9,"H"
"243","2017-02-13","BROOKLYN NETS","MEMPHIS GRIZZLIES",8.5,103,112,-9,"H"
"244","2017-02-15","BROOKLYN NETS","MILWAUKEE BUCKS",5.5,125,129,-4,"H"
"245","2017-02-24","BROOKLYN NETS","DENVER NUGGETS",10,109,129,-20,"V"
"246","2017-02-25","BROOKLYN NETS","GOLDEN STATE WARRIORS",21,95,112,-17,"V"
"247","2017-03-01","BROOKLYN NETS","SACRAMENTO KINGS",2.5,109,100,9,"V"
"248","2017-03-03","BROOKLYN NETS","UTAH JAZZ",13,97,112,-15,"V"
"249","2017-03-04","BROOKLYN NETS","PORTLAND TRAIL BLAZERS",11,116,130,-14,"V"
"250","2017-03-06","BROOKLYN NETS","MEMPHIS GRIZZLIES",10.5,122,109,13,"V"
"251","2017-03-08","BROOKLYN NETS","ATLANTA HAWKS",9.5,105,110,-5,"V"
"252","2017-03-10","BROOKLYN NETS","DALLAS MAVERICKS",10,96,105,-9,"V"
"253","2017-03-12","BROOKLYN NETS","NEW YORK KNICKS",-1,120,112,8,"H"
"254","2017-03-14","BROOKLYN NETS","OKLAHOMA CITY THUNDER",6.5,104,122,-18,"H"
"255","2017-03-16","BROOKLYN NETS","NEW YORK KNICKS",4.5,121,110,11,"V"
"256","2017-03-17","BROOKLYN NETS","BOSTON CELTICS",8.5,95,98,-3,"H"
"257","2017-03-19","BROOKLYN NETS","DALLAS MAVERICKS",5,104,111,-7,"H"
"258","2017-03-21","BROOKLYN NETS","DETROIT PISTONS",5.5,98,96,2,"H"
"259","2017-03-23","BROOKLYN NETS","PHOENIX SUNS",-5.5,126,98,28,"H"
"260","2017-03-24","BROOKLYN NETS","WASHINGTON WIZARDS",10.5,108,129,-21,"V"
"261","2017-03-26","BROOKLYN NETS","ATLANTA HAWKS",6.5,107,92,15,"V"
"262","2017-03-28","BROOKLYN NETS","PHILADELPHIA 76ERS",-4,101,106,-5,"H"
"263","2017-03-30","BROOKLYN NETS","DETROIT PISTONS",6.5,89,90,-1,"V"
"264","2017-04-01","BROOKLYN NETS","ORLANDO MAGIC",-3.5,121,111,10,"H"
"265","2017-04-02","BROOKLYN NETS","ATLANTA HAWKS",3,91,82,9,"H"
"266","2017-04-04","BROOKLYN NETS","PHILADELPHIA 76ERS",-1.5,141,118,23,"V"
"267","2017-04-06","BROOKLYN NETS","ORLANDO MAGIC",2,107,115,-8,"V"
"268","2017-04-08","BROOKLYN NETS","CHICAGO BULLS",3.5,107,106,1,"H"
"269","2017-04-10","BROOKLYN NETS","BOSTON CELTICS",10.5,105,114,-9,"V"
