"","X.3","X.2","Rk","G","Date","X","Opp","W.L","Tm","Opp.1","TeamFG","TeamFGA","TeamFG.","Team3P","Team3PA","Team3P.","TeamFT","TeamFTA","TeamFT.","TeamORB","TeamTRB","TeamAST","TeamSTL","TeamBLK","TeamTOV","TeamPF","X.1","OppoFG","OppoFGA","OppoFG.","Oppo3P","Oppo3PA","Oppo3P.","OppoFT","OppoFTA","OppoFT.","OppoORB","OppoTRB","OppoAST","OppoSTL","OppoBLK","OppoTOV","OppoPF","Tm1","TPdiff","TRBdiff","FTdiff","ASTdiff","BLKdiff","TOVdiff"
"44",11,11,11,11,"2016-11-16","","MILWAUKEE BUCKS","W",107,100,35,72,0.486,10,32,0.313,27,31,0.871,3,39,29,6,8,16,17,NA,39,98,0.398,8,32,0.25,14,18,0.778,15,47,25,9,2,14,25,"ATLANTA HAWKS",2,-8,13,4,6,2
"45",24,24,24,24,"2016-12-09","@","MILWAUKEE BUCKS","W",114,110,40,84,0.476,12,34,0.353,22,29,0.759,9,46,32,7,8,17,11,NA,44,94,0.468,12,28,0.429,10,14,0.714,9,43,26,11,5,15,25,"ATLANTA HAWKS",0,3,12,6,3,2
"46",40,40,40,40,"2017-01-15","","MILWAUKEE BUCKS","W",111,98,42,80,0.525,13,26,0.5,14,18,0.778,14,37,29,9,4,19,20,NA,39,79,0.494,6,19,0.316,14,18,0.778,13,36,25,11,4,16,25,"ATLANTA HAWKS",7,1,0,4,0,3
"47",72,72,72,72,"2017-03-24","@","MILWAUKEE BUCKS","L",97,100,34,83,0.41,8,22,0.364,21,24,0.875,13,49,20,5,3,17,19,NA,39,88,0.443,8,27,0.296,14,16,0.875,9,35,27,10,6,8,23,"ATLANTA HAWKS",0,14,7,-7,-3,9
"48",29,29,29,29,"2016-12-21","","MINNESOTA TIMBERWOLVES","L",84,92,34,82,0.415,7,26,0.269,9,13,0.692,8,35,19,9,8,10,15,NA,35,83,0.422,9,29,0.31,13,14,0.929,15,52,21,6,6,17,11,"ATLANTA HAWKS",-2,-17,-4,-2,2,-7
"49",31,31,31,31,"2016-12-26","@","MINNESOTA TIMBERWOLVES","L",90,104,35,83,0.422,8,32,0.25,12,17,0.706,17,46,20,8,7,19,19,NA,37,82,0.451,15,31,0.484,15,18,0.833,11,40,26,11,3,14,19,"ATLANTA HAWKS",-7,6,-3,-6,4,5
"50",14,14,14,14,"2016-11-22","","NEW ORLEANS PELICANS","L",94,112,39,85,0.459,10,29,0.345,6,10,0.6,6,40,22,5,6,15,15,NA,45,86,0.523,11,25,0.44,11,12,0.917,5,40,29,11,9,9,16,"ATLANTA HAWKS",-1,0,-5,-7,-3,6
"51",36,36,36,36,"2017-01-05","@","NEW ORLEANS PELICANS","W",99,94,38,90,0.422,9,23,0.391,14,17,0.824,12,55,23,9,6,14,14,NA,34,93,0.366,15,35,0.429,11,14,0.786,15,52,19,8,4,15,18,"ATLANTA HAWKS",-6,3,3,4,2,-1
"52",13,13,13,13,"2016-11-20","@","NEW YORK KNICKS","L",94,104,34,85,0.4,6,21,0.286,20,29,0.69,14,48,17,7,6,13,15,NA,42,88,0.477,10,27,0.37,10,14,0.714,11,50,21,8,1,15,23,"ATLANTA HAWKS",-4,-2,10,-4,5,-2
"53",32,32,32,32,"2016-12-28","","NEW YORK KNICKS","W",102,98,37,101,0.366,7,27,0.259,21,27,0.778,17,55,19,8,3,13,19,NA,35,93,0.376,7,27,0.259,21,26,0.808,14,55,20,8,7,17,23,"ATLANTA HAWKS",0,0,0,-1,-4,-4
